[8:07 pm, 06/07/2022] Mohamad:  you need any more help
Although I think we're done
[9:20 pm, 06/07/2022] Mohamad: Wanna practice or should we improvise?
Or at least tell each one will explain which slide
[9:20 pm, 06/07/2022] Aida: yea we will divide the slides a bit later
[9:21 pm, 06/07/2022] Aida: and then just improvise
[9:34 pm, 06/07/2022] Mohamad: Sure
[9:35 pm, 06/07/2022] Mohamad: Wanna party?
Sounds weird going out from me I know🌚
[9:35 pm, 06/07/2022] Aida: what 😹😹😹
[9:36 pm, 06/07/2022] Mohamad: I will murder you tomorrow
[9:36 pm, 06/07/2022] Mohamad: But after the presentation
[9:36 pm, 06/07/2022] Mohamad: 😂
[9:37 pm, 06/07/2022] Mohamad: Because can't do it without my teammates 🥲
[9:38 pm, 06/07/2022] Aida: 🥰
[9:39 pm, 06/07/2022] Mohamad: @Ediz ice cream for tomorrow?🌚😂
[9:40 pm, 06/07/2022] Aida: if it's on you
[9:43 pm, 06/07/2022] Mohamad: If so you'll have to wait like at least 2 weeks😂
[9:43 pm, 06/07/2022] Mohamad: But I want to hear if @Ediz would dare to go for it especially after last time😂
[9:44 pm, 06/07/2022] Ediz: No more ice cream for the rest of the year
[9:44 pm, 06/07/2022] Ediz: I'm really mas
[9:44 pm, 06/07/2022] Mohamad: 🤣🤣🤣
[9:44 pm, 06/07/2022] Ediz: Mad
[9:45 pm, 06/07/2022] Ediz: Don't even know how to explain further
[9:45 pm, 06/07/2022] Mohamad: It wasn't my fault why you're yelling at me😂
[9:45 pm, 06/07/2022] Ediz: It made me sick🤷‍♂️
[9:45 pm, 06/07/2022] Ediz: Haha
[9:45 pm, 06/07/2022] Mohamad: I gave him 1 star review
[9:45 pm, 06/07/2022] Mohamad: I hope it will make difference 😅
[9:46 pm, 06/07/2022] Aida: lol
[9:46 pm, 06/07/2022] Ediz: 😂
[9:47 pm, 06/07/2022] Aida: so what type of party you were talking about?
[9:47 pm, 06/07/2022] Aida: we have bbq party tomorrow
[9:48 pm, 06/07/2022] Mohamad: Guys I won't be anywhere for a month
[9:48 pm, 06/07/2022] Mohamad: Wtf is this????
[9:50 pm, 06/07/2022] Aida: omg what?
[9:50 pm, 06/07/2022] Aida: from Luxembourg ?
[9:51 pm, 06/07/2022] Mohamad: This is so weird
[9:51 pm, 06/07/2022] Ediz: There will be free drink and stuff!
[9:52 pm, 06/07/2022] Mohamad: Guys check your accounts 
Some people got charged around 800€
[10:07 pm, 06/07/2022] Aida: 🤔
[1:07 am, 07/07/2022] Julian: hello
[1:07 am, 07/07/2022] Julian: I think presentation its done
[1:10 am, 07/07/2022] Julian: i add some other graphs
[1:10 am, 07/07/2022] Julian: and change the hypothesis a bit
[1:12 am, 07/07/2022] Aida: cool
[9:45 am, 07/07/2022] Aida: fuck guys .gonna be latw
[9:45 am, 07/07/2022] Aida: late
[9:45 am, 07/07/2022] Julian: X2
[9:45 am, 07/07/2022] Aida: I didn't hear my alarm
[9:45 am, 07/07/2022] Aida: 😹😹
